Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,5197.16045587396,5435.74085667369,5882.90063127629,6371.97774644335,6622.02094646504,6618.70671185143,6972.83227808439,7681.74469821619,8268.921407629,9224.11438112467,9841.23461305883,10345.2333490953,10846.9762619047,11080.7257314929,11172.0328868306,11107.9158407469,11462.2294094723,11967.8338837518,11201.7401347059,11685.82371555,12062.0075991371,12370.4666561761,12580.0374687348,13184.9092406389,12337.6049119586,12291.5492619209,12870.947706353,13433.7813762756,14097.096665718,15653.3747162831,16833.7045173582,16558.4579093215,14327.3108496645,13049.2570545735,12618.0791316619,12876.8892883551,12644.6890235017,12976.3314609289,13328.1466479391,13917.9511172561,14220.5021076325,15134.8841569088,
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,19378.3707946897,19468.8178179858,19245.6202628193,20053.3637890905,21035.9183111766,21861.9575878088,21877.5774112563,22964.7001362559,23712.9087182672,24857.5440894284,26120.6494734321,26263.4896717793,26794.0220186405,27077.1153049505,27483.6869545714,27513.8685051962,27944.2336293778,28625.1942438694,28547.9825448817,29383.0735686274,29907.7863463789,30419.5325316349,30912.2222181387,29850.1943253301,30866.2518242285,32045.3160169279,32797.0946430137,33126.7927129807,34460.0365303649,35191.1144375945,35912.2092359937,35316.5370122119,35034.5326599405,36091.3889821234,37133.6484007101,38095.1295333831,39056.181021017,40153.6122516886,41555.9443532478,43168.2924609306,44334.3929341041,44585.1985160971,45806.6944747073,46595.9009195353,47926.7486611411,48813.8877630783,49443.225533311,51024.2411265745,51841.2730313421,51767.3778350805,52022.1255961876,52567.7772438131,53682.0472210506,54129.9390516228,54679.420178522,55079.8921159501,55728.6844626056,56095.1863203728,56842.3055122125,
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13031.0317692215,13677.4644013835,13953.9501954416,14438.3568543653,15220.8199272257,15648.5269132562,16416.0056301174,16783.8899182416,17443.7052192203,18474.5402685695,19573.8671463957,20483.4535598112,21628.9664017571,22561.3707979535,23410.8905853717,23387.7066979738,24501.7496582501,25736.5515508775,25703.1377080491,27126.1785268963,27595.8351099017,27485.8325124757,28018.5412476123,28898.2192222307,28914.8569636945,29623.4345208073,30285.9335797815,30677.5443992108,31643.8093803121,32726.0598533404,33888.9960300827,34707.0716937124,35045.844759146,34941.1438607923,35643.0281541159,36537.9935189467,37346.00747133,38084.702501734,39405.4152181248,40727.4844977123,42001.210774577,42370.9302536426,42859.3299380524,43052.602598004,43956.5829032552,44637.8560109729,45951.7346365426,47510.2937856663,48053.4823567215,46123.4911031965,46858.0432733717,48065.3165411898,48172.2381151452,47901.366129632,47842.7489082353,47789.3850154389,48259.9375956173,49112.7328902854,50019.8702125281,
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3167.06208817709,3096.44979581974,2360.6146998036,1787.94376282146,1416.44236153429,1234.99655955667,1238.48136554173,1297.73380928734,1414.02228639608,1505.39050127936,1658.80529323062,1808.95740069391,1964.98632844986,2149.23250460856,2327.65185795531,2948.20604828813,3921.02755330664,4863.98288042342,5267.371988685,5642.52679697322,5842.80578358576,5676.45041334095,5724.92083164488,5981.53869483097,6072.58603960072,6063.73011692466,5812.5843743252,5739.59455488806,5768.99240538437,
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,213.39688081986,180.545876285742,193.191880665894,197.305647300731,205.396400591232,208.846076720306,213.235282410668,236.535680939732,229.915102622963,221.450916401238,263.643956763226,266.978062580072,247.104003747795,261.529170917932,256.687330407088,254.675947596146,269.801511616064,294.225338609102,284.460085621528,281.917260438568,277.447458631793,303.227653673613,292.277811386532,295.196478335089,287.749697844271,312.872113350282,314.056875533449,322.086263161854,329.025420980918,324.771190295123,327.986681933291,336.580270395656,332.765875459652,305.948149312137,289.196918329432,262.375065939413,238.474631535111,232.305477391278,240.844572896698,235.309285692169,229.206107263877,228.660388811251,232.466497747919,222.807321080131,226.288471649801,221.096374710531,225.622210413864,225.859085274657,229.148545082546,230.192598508771,234.235646874999,235.988766659787,238.816045825172,242.845994657449,245.326738733565,228.432544171606,219.961497757751,214.139246201959,210.804225834169,
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13020.542348285,13623.426939266,14276.5387292232,14786.8326967949,15666.5219803109,16077.6811800065,16473.4272656358,17015.6626013495,17659.7129796915,18777.2697082147,19807.7183629788,20559.7161639364,21563.8707829007,22867.9434539696,23836.8073576355,23300.7581746307,24573.9442054793,24697.3001670834,25375.4855296588,25946.212577976,27069.426305812,26994.5377144316,27162.5326097118,27249.4017371105,27921.8955473232,28374.6543688608,28881.5590522093,29522.5788837622,30818.8548193574,31772.3898631082,32671.6336846386,33147.1274043204,33518.2312907732,33066.4057035008,34028.4128316387,34767.0166148772,35157.6923714667,36403.2507738659,37038.2531739645,38262.6257269681,39588.5980069678,39886.4943648175,40385.8689506619,40634.5854893595,41903.9764229122,42641.6774559424,43442.5678977027,44710.3850177578,44556.8205778637,43306.5991304703,44141.8781415734,44309.6253696963,44361.2084743341,44355.3694469554,44855.9578724323,45503.3519914323,45957.6821092271,46680.2075195808,47166.4843582889,
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,520.911863880452,529.81369832049,504.090373619489,519.637097501793,544.958883124247,563.695820104767,573.01168369418,567.937143686421,577.868689260822,582.17776823521,581.802146921472,560.726598193629,583.625047648305,591.627135676894,597.239781715349,554.477044930996,545.675395204403,558.476521620603,550.963475890974,571.629625019331,594.198672107545,635.737086738733,632.143226543972,587.860558488575,616.638480177671,644.215332560682,639.372178891523,611.624229097303,613.829422196661,578.10330629803,609.940075183535,614.604291223281,611.146528991698,624.56235750667,615.720530615524,631.786966953111,638.698810513676,655.181355339659,661.276265269691,676.336643403033,694.921023151496,710.161489897726,720.870842120316,723.372198321457,733.049857405395,723.90548209722,730.987591685518,752.948865301669,767.779660550536,763.899048095554,758.435082889989,759.31530974021,773.930006197483,806.742379566569,834.443596363086,828.643058539734,838.033578389057,862.897041662535,897.198783313794,
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,238.854562360996,245.198582661663,256.777174402718,250.117852037582,252.261831813637,257.91507753529,255.28153124882,273.300218245601,276.974204233536,277.774091102006,273.33151551225,272.410460368818,273.83695464318,270.182895737443,287.264561673976,290.373108648389,309.153850689155,304.242226817525,311.834178785847,316.437746591525,311.891569083801,317.607545255431,339.56329188478,332.260179910774,318.102431922458,336.411586413563,353.888019006108,343.970454997046,354.488976474489,352.677859553805,341.352617189917,362.478919951271,353.668786014067,356.128863354102,351.104458678869,361.121421967347,389.965445880457,403.216943616745,420.723454429533,439.299726397477,434.763330444212,450.452280722016,456.73413491079,478.304352301957,485.307404342803,511.967590461138,527.962387666167,541.268695046728,563.447103417816,562.841972573867,575.446452687734,595.392988928601,615.095970788297,631.610260603211,639.708095622635,645.369860579085,663.847428832852,685.883936685047,712.036087765552,
Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,372.031695722991,383.784358473246,393.633450578951,380.95602871826,410.571447191891,404.788059380935,402.302927666992,382.207664244051,405.533607666052,398.949916726982,411.184362801919,380.948608902683,322.33440569941,328.071885895516,353.762503526347,332.888062537241,343.948157012526,344.435566228696,359.090605054417,366.241111288189,359.456257585739,375.427432118736,373.551348204956,378.091928876351,386.061443177345,388.644273789874,394.335068911307,398.588126655912,397.761911676302,398.852110318811,411.164611241749,415.714740930362,428.661017617889,439.23000019415,446.654812655474,459.613367750575,470.274688637274,481.122454006953,495.626754059541,508.385222705121,524.945869703516,541.291660881083,551.903047733547,568.13922556822,588.327258879369,617.542666369303,649.929885115528,687.323085586786,720.357003907352,748.296060456803,781.153593557047,822.188338841729,865.749891053711,907.257418044388,951.314821042494,1002.38885345832,1062.04015786301,1127.27176833347,1203.21626488899,
Bulgaria,BGR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3223.80899433698,3370.52919134631,3439.02825941883,3548.13214904218,3660.06888345894,3758.34002719537,3917.51479507007,4148.59381224382,4597.47543157644,4498.55198005699,4162.81570433754,3849.18630135359,3607.79367407921,3582.85611598934,3660.40197671228,3781.90349197295,3828.24642187336,3809.68651346487,4078.68930627734,3756.75085295718,3955.27580157865,4186.92041902769,4532.8538693831,4804.48436237995,5152.41400784508,5561.16384273605,5988.77095056511,6476.05420316886,6914.39843478088,6709.52731467062,6843.26694975885,7019.17404574254,7062.13497737665,7136.84597816382,7309.4151151672,7611.55087800877,7966.88200882858,8331.15227287203,8651.09480143084,
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,21185.0047497046,19295.6051761751,17290.8359587974,17906.0348714761,18304.6815302848,16926.4729634828,16571.520269408,17663.562665778,18240.7418968615,17702.5042889354,17934.7616005435,19407.6540816872,20178.5246085811,22218.0606042329,21623.234768984,21910.3402805166,22220.782690136,22281.7807014058,22634.9856468785,22761.1535577575,22955.2372613294,22416.2309058685,21981.9195272313,22058.8721481813,22144.6068766373,22066.209072122,21795.641469988,21837.5068879636,21562.0182412706,20795.7081915852,20722.1372891348,20516.5883157314,20924.7308895917,21805.1376037124,22395.3060349444,22435.7339408968,22336.7799258335,22126.6882192369,21438.4099004451,
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,17734.567327177,18673.8347398528,19608.7392961232,20608.9997659686,21688.3316677513,22863.6476942442,23860.6272862576,25081.9423021766,26161.008342765,27535.28274148,25195.9995103593,24941.4055350112,23530.9465904697,24802.55288824,20245.2212608171,16903.5049908778,17410.1139248833,18599.8151193458,20775.8134693927,25633.1856605736,26700.9449444996,23704.4291199575,24734.3299140047,25066.2102707334,28016.0727071592,28786.2162218705,28759.2828141152,29099.6957785383,29268.9012614323,30706.5571244709,29686.8978383227,27923.9716261566,26348.8455603457,25938.5355504724,26291.9793474048,27018.3449634376,27783.2570775761,28022.6792280982,29017.2910405495,30723.9752444579,31570.5281698484,31910.5095551311,32236.4487923714,31272.8381153798,30978.5823209877,31442.2788734593,31632.4534870083,31485.4937392896,30190.7510358741,28440.0722223017,28443.4076553352,28248.8497757498,28799.9214118515,27676.8974095953,27620.0955343064,27519.8480761179,27370.2025435648,27113.6753665173,27261.2144822129,
Bosnia and Herzegovina,BIH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.475098755652,871.166288678073,1674.39517135682,2267.29059415074,2622.20417059016,2867.01302230013,3018.39161063973,3147.56254592875,3310.96705816958,3440.85579921021,3648.78676981397,3967.19505159318,4182.00541497658,4429.98987917585,4680.98616022457,4562.70852261504,4635.51777931783,4734.21492249308,4774.38528118021,4972.66121892916,5117.14015572965,5356.30006388216,5595.09967046005,5773.37309663603,6032.24619878815,
Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180.54209360027,3140.83444248246,2833.19987218745,2611.99605909695,2309.09865764927,2075.6499951585,2140.90885473225,2395.10936164256,2608.67517443181,2708.7393350487,2879.38006548047,3030.94752615782,3204.19898457435,3453.9636651659,3875.7830645828,4269.16602174832,4724.92454603076,5154.86716411286,5700.31938066551,5724.46885160699,6181.39991568753,6525.85136912335,6642.03513243543,6707.62152957548,6817.28921850647,6545.7805269077,6372.40179455992,6536.01210231683,6744.49866958786,
Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1057.00273518353,1077.81873560328,1099.42832827167,1121.89429589732,1144.7860784348,1166.70528421419,1186.28185696665,1207.62331710016,1258.95439614006,1287.73623852918,1317.38070184217,1340.88717756123,1450.5069759771,1502.79645852179,1680.41280626572,1715.27487771171,1690.7498203559,1776.37962693142,1889.82344374665,1998.23406996817,2221.91628732642,2195.16564945193,2135.86076489551,2032.11319234739,2013.71054757981,1977.68492859252,2010.80244825965,2165.96876121241,2315.43278391345,2553.31458501959,2783.55386376794,3044.61077518926,3355.6613240015,3506.73715529267,3441.61979881405,3375.37423310736,3316.2101899416,3311.08705324218,3305.68742635351,3464.32855057277,3783.54051673086,3852.61080937907,3936.95147863036,4191.60932777172,4274.13825643967,4271.6125912905,4351.86900637284,4286.74040704172,4312.68645463915,4233.54992553496,4270.79964683667,4260.46175106495,4284.89946078382,4224.96725056477,4286.11300034403,4340.26753567593,4227.29132130678,4203.95911842979,4248.99905543377,
Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,27838.3930375774,28436.716583056,29006.5798401619,28640.8780165917,31041.9500043757,31740.6355233978,35659.1612543762,39616.1419860849,39686.9553481262,40290.5688347111,42055.0304719923,43819.358387283,44942.9191535041,45948.8338277272,46699.0989703916,48824.501768485,52988.7455136405,55903.5590573088,56504.0914894508,57503.2189423032,61083.4509496361,62106.1317965972,58400.2839788516,59061.1697050723,58826.9549652087,57167.1018852694,60463.9087856699,62224.8917779393,64196.2324263801,63939.8115704253,63429.2767665396,61503.6383589572,61913.7772348381,63435.4731513697,63374.766845423,65690.9641699689,66969.933143424,69624.4363363497,71810.384072276,73825.1848453623,79988.3500115683,84844.7383808264,83048.803111906,85321.2432651983,86733.3700723903,87616.3859691804,91944.8738136662,94029.6080297516,94903.19153445,89391.2111759902,88207.3275597322,86001.1711723395,81547.8552352009,79251.7816637313,,,,,,
Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1005.40850026935,1006.59365138963,1042.06401883149,1091.03807401752,1111.69104879084,1142.8895984375,1199.98974582606,1249.67794973272,1328.23087523649,1358.65715474943,1399.51523086,1439.01184325452,1520.26819950801,1572.74368482085,1583.77520127802,1662.48245880255,1701.09258633384,1746.45013311798,1743.38949578868,1708.16920493782,1649.25562859068,1619.79081935104,1524.61415484069,1433.77484412013,1402.22516180094,1350.75411360993,1288.94023118672,1293.28608745006,1303.10781008416,1324.16334971762,1356.53993740886,1398.12306298772,1391.48016825368,1420.74327602158,1456.39460529322,1493.41846771504,1527.11134094105,1570.82497822518,1617.36710627811,1592.73741489358,1601.41665812106,1597.64201121273,1606.90467715541,1620.26366392743,1657.50512835135,1700.18279095051,1750.80304828605,1799.49854611382,1878.1103131111,1909.08458812934,1955.46155736098,2024.11732438255,2094.02421738306,2201.39684777688,2286.01319823426,2361.05658121979,2425.56159007818,2490.95631434671,2559.51131656583,
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3417.35244190971,3660.39149911126,3740.43327985188,3664.97759840287,3685.49289177482,3692.84578910732,3741.85563623891,3821.46106263661,4147.38172722123,4435.37902964333,4704.31756122819,5108.40338585586,5587.88625565948,6219.51401630693,6623.41550847593,6805.29828755336,7296.34748425015,7453.59017220592,7514.28926301439,7835.0703131317,8349.48782019185,7796.85434394983,7660.57857291715,7230.71610832987,7442.97241093524,7862.70351931771,8316.51680867382,8445.71201168821,8276.32686747308,8389.97872278077,7983.74677607675,7963.11180852077,7791.75742548499,8020.60657401255,8311.56088840077,8540.07687802909,8591.01470912416,8744.84634619226,8641.27530944835,8554.07277616112,8803.15252917931,8804.32948764487,8954.83724534174,8943.82848255785,9346.03934316368,9535.41883036578,9805.72450610977,10293.530341463,10710.8722205603,10594.9865923924,11286.2430162457,11627.8106505716,11745.775926213,11993.4862028967,11951.2123759422,11431.144461924,10962.6267768344,10990.1848412582,11026.2412096851,
Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,11160.2199922277,10881.0156383514,11289.9094680384,11637.4673700595,12143.2635182646,13041.8925151558,13555.9713984185,13250.9805602113,12562.6745602439,12590.6605663173,13007.7746363295,13111.3224247864,13735.3090506009,14041.3793396138,14479.8211644098,14944.542785693,14396.0225603771,13783.4056684271,12950.2754585839,13004.1068345282,13214.5605762897,13426.8710077802,13903.5953376515,14500.8462215884,14977.337417189,14965.505533056,15569.7957310421,15146.5492502582,15214.1689907338,15493.924170883,15658.1267861746,16216.2725345444,17064.2073227619,17305.072344637,17385.2205997817,16472.2903598122,16056.1168393406,15880.3367992216,15829.8516647331,15580.3454522588,15525.0768345615,15839.636575234,16173.86819944,16121.2262826078,16018.0411266686,
Brunei Darussalam,BRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,45632.2466663368,43937.4687884357,50735.5767258862,54169.989767425,55768.5377360157,66019.8751942031,59413.3946135826,46170.9932631625,46590.0176345573,45496.4992969116,44489.9551564721,42601.6376823434,40284.2803244734,39943.6728806368,39251.6875894504,37740.7782163524,37080.905766838,37171.4749076551,37848.1292503919,36913.6461243111,37052.2679690634,37713.6899412144,37842.9279965812,36409.3719864638,35390.7901840577,35680.9788660012,35931.5965013377,36171.8050676004,36841.2942129897,37212.4669053931,36761.2498220737,36329.4982777345,37399.74000641,36987.8415885984,35844.4160068892,34800.5635264382,35269.5531076448,36121.891977592,35967.3283979567,34729.8266256897,33471.1464519954,32869.2866185522,31685.2254544178,31752.740813782,31436.8681969939,
Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,390.064624753467,432.373602709671,435.852341486284,473.140227015848,481.586238898543,488.043632381656,528.860828679537,659.116769685688,671.30820689696,703.747767784514,767.611545141062,759.006909926536,794.100291081929,812.793616800346,854.160156050722,909.926160130462,948.422015306071,980.832274224808,1015.52122852913,1070.97466104612,1119.76412247204,1187.88986089978,1291.97337013957,1366.81993803598,1424.05305759133,1504.45561362022,1588.53137118174,1859.0862346315,1928.76867918445,2038.56141952102,2258.18314084562,2411.02893203013,2504.50589111398,2526.43366837513,2639.60088274338,2780.81954215874,2970.76650588337,3072.02030294455,3128.00090457946,
Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,407.782303249144,425.241449634856,443.984364776768,459.819834680079,480.308055556698,497.232311514922,517.710640782557,536.996180282175,580.95491270743,653.11165183878,744.922988920962,910.252015366313,1114.44320922989,1307.14021619564,1372.79249442498,1435.23920665271,1529.01854120517,1647.32492749527,1811.17393074742,1954.64204886811,2108.99588888295,2219.72731805281,2405.81690370222,2631.22790662145,2758.30505721258,2849.46740459061,2967.59460349059,3193.81424890064,3671.44343460592,4002.76152423799,4133.45822711231,4309.25704888118,4313.86397969188,4284.79210375981,4332.02905449455,4525.76850950519,4676.43569022036,4948.40522922904,4858.70631921133,5214.44622115647,5211.0737051999,5126.3541863134,5341.92009255573,5493.14411580954,5542.30542660652,5686.78053185044,6038.79181048478,6400.71756767326,6657.83238251693,6029.19863060839,6434.81565688465,6728.20195409419,6944.80763670943,7646.41431460258,7864.25328125683,7613.69840975739,7797.14412155784,7859.43648334522,8031.01380349216,
Central African Republic,CAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,599.116100721465,618.740792609569,585.840754977633,571.584987285929,572.867726445927,567.331190898482,559.619764781115,573.69218083169,569.77627698315,598.290782182975,601.335086337572,598.42583331612,589.685502217338,592.240572915026,620.117159850061,611.825525297979,632.579549139863,642.845744246179,635.73986591836,604.683732040139,562.217921194689,537.624621098817,561.527305851851,500.260533737478,532.210312274318,539.232949224727,546.574141566825,509.944625002657,509.591093701878,509.870622334726,488.077735168195,473.278028015469,430.792810492185,419.90452429075,427.993676350086,446.331970088384,417.394448388596,428.606943024143,438.027971257494,443.271832373385,422.451780755554,431.639048422027,437.826009122803,405.75798518678,421.535737733479,417.09500022627,428.538855606718,439.747443820044,440.86669437072,471.633075350589,487.945383289614,504.746050229296,528.129706797586,335.062282874554,334.114550837843,346.355907441099,359.249571893011,370.747107346009,378.995277100776,
